Date,Public Holiday AG
2022-05-01 06:00:00,Tag der Arbeit
2022-05-01 07:00:00,Tag der Arbeit
2022-05-01 08:00:00,Tag der Arbeit
2022-05-01 09:00:00,Tag der Arbeit
2022-05-01 10:00:00,Tag der Arbeit
2022-05-01 11:00:00,Tag der Arbeit
2022-05-01 12:00:00,Tag der Arbeit
2022-05-01 13:00:00,Tag der Arbeit
2022-05-01 14:00:00,Tag der Arbeit
2022-05-01 15:00:00,Tag der Arbeit
2022-05-01 16:00:00,Tag der Arbeit
2022-05-01 17:00:00,Tag der Arbeit
2022-05-01 18:00:00,Tag der Arbeit
2022-05-01 19:00:00,Tag der Arbeit
2022-05-01 20:00:00,Tag der Arbeit
2022-05-01 21:00:00,Tag der Arbeit
2022-05-01 22:00:00,Tag der Arbeit
2022-05-01 23:00:00,Tag der Arbeit
2022-06-06 00:00:00,Pfingstmontag
2022-06-06 01:00:00,Pfingstmontag
2022-06-06 02:00:00,Pfingstmontag
2022-06-06 03:00:00,Pfingstmontag
2022-06-06 04:00:00,Pfingstmontag
2022-06-06 05:00:00,Pfingstmontag
2022-06-06 06:00:00,Pfingstmontag
2022-06-06 07:00:00,Pfingstmontag
2022-06-06 08:00:00,Pfingstmontag
2022-06-06 09:00:00,Pfingstmontag
2022-06-06 10:00:00,Pfingstmontag
2022-06-06 11:00:00,Pfingstmontag
2022-06-06 12:00:00,Pfingstmontag
2022-06-06 13:00:00,Pfingstmontag
2022-06-06 14:00:00,Pfingstmontag
2022-06-06 15:00:00,Pfingstmontag
2022-06-06 16:00:00,Pfingstmontag
2022-06-06 17:00:00,Pfingstmontag
2022-06-06 18:00:00,Pfingstmontag
2022-06-06 19:00:00,Pfingstmontag
2022-06-06 20:00:00,Pfingstmontag
2022-06-06 21:00:00,Pfingstmontag
2022-06-06 22:00:00,Pfingstmontag
2022-06-06 23:00:00,Pfingstmontag
2022-06-16 00:00:00,Fronleichnam
2022-06-16 01:00:00,Fronleichnam
2022-06-16 02:00:00,Fronleichnam
2022-06-16 03:00:00,Fronleichnam
2022-06-16 04:00:00,Fronleichnam
2022-06-16 05:00:00,Fronleichnam
2022-06-16 06:00:00,Fronleichnam
2022-06-16 07:00:00,Fronleichnam
2022-06-16 08:00:00,Fronleichnam
2022-06-16 09:00:00,Fronleichnam
2022-06-16 10:00:00,Fronleichnam
2022-06-16 11:00:00,Fronleichnam
2022-06-16 12:00:00,Fronleichnam
2022-06-16 13:00:00,Fronleichnam
2022-06-16 14:00:00,Fronleichnam
2022-06-16 15:00:00,Fronleichnam
2022-06-16 16:00:00,Fronleichnam
2022-06-16 17:00:00,Fronleichnam
2022-06-16 18:00:00,Fronleichnam
2022-06-16 19:00:00,Fronleichnam
2022-06-16 20:00:00,Fronleichnam
2022-06-16 21:00:00,Fronleichnam
2022-06-16 22:00:00,Fronleichnam
2022-06-16 23:00:00,Fronleichnam
2022-08-15 00:00:00,Mariä Himmelfahrt
2022-08-15 01:00:00,Mariä Himmelfahrt
2022-08-15 02:00:00,Mariä Himmelfahrt
2022-08-15 03:00:00,Mariä Himmelfahrt
2022-08-15 04:00:00,Mariä Himmelfahrt
2022-08-15 05:00:00,Mariä Himmelfahrt
2022-08-15 06:00:00,Mariä Himmelfahrt
2022-08-15 07:00:00,Mariä Himmelfahrt
2022-08-15 08:00:00,Mariä Himmelfahrt
2022-08-15 09:00:00,Mariä Himmelfahrt
2022-08-15 10:00:00,Mariä Himmelfahrt
2022-08-15 11:00:00,Mariä Himmelfahrt
2022-08-15 12:00:00,Mariä Himmelfahrt
2022-08-15 13:00:00,Mariä Himmelfahrt
2022-08-15 14:00:00,Mariä Himmelfahrt
2022-08-15 15:00:00,Mariä Himmelfahrt
2022-08-15 16:00:00,Mariä Himmelfahrt
2022-08-15 17:00:00,Mariä Himmelfahrt
2022-08-15 18:00:00,Mariä Himmelfahrt
2022-08-15 19:00:00,Mariä Himmelfahrt
2022-08-15 20:00:00,Mariä Himmelfahrt
2022-08-15 21:00:00,Mariä Himmelfahrt
2022-08-15 22:00:00,Mariä Himmelfahrt
2022-08-15 23:00:00,Mariä Himmelfahrt
2022-09-18 00:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 01:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 02:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 03:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 04:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 05:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 06:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 07:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 08:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 09:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 10:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 11:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 12:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 13:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 14:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 15:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 16:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 17:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 18:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 19:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 20:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 21:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 22:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-09-18 23:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2022-11-01 00:00:00,Allerheiligen
2022-11-01 01:00:00,Allerheiligen
2022-11-01 02:00:00,Allerheiligen
2022-11-01 03:00:00,Allerheiligen
2022-11-01 04:00:00,Allerheiligen
2022-11-01 05:00:00,Allerheiligen
2022-11-01 06:00:00,Allerheiligen
2022-11-01 07:00:00,Allerheiligen
2022-11-01 08:00:00,Allerheiligen
2022-11-01 09:00:00,Allerheiligen
2022-11-01 10:00:00,Allerheiligen
2022-11-01 11:00:00,Allerheiligen
2022-11-01 12:00:00,Allerheiligen
2022-11-01 13:00:00,Allerheiligen
2022-11-01 14:00:00,Allerheiligen
2022-11-01 15:00:00,Allerheiligen
2022-11-01 16:00:00,Allerheiligen
2022-11-01 17:00:00,Allerheiligen
2022-11-01 18:00:00,Allerheiligen
2022-11-01 19:00:00,Allerheiligen
2022-11-01 20:00:00,Allerheiligen
2022-11-01 21:00:00,Allerheiligen
2022-11-01 22:00:00,Allerheiligen
2022-11-01 23:00:00,Allerheiligen
2022-12-08 00:00:00,Mariä Empfängnis
2022-12-08 01:00:00,Mariä Empfängnis
2022-12-08 02:00:00,Mariä Empfängnis
2022-12-08 03:00:00,Mariä Empfängnis
2022-12-08 04:00:00,Mariä Empfängnis
2022-12-08 05:00:00,Mariä Empfängnis
2022-12-08 06:00:00,Mariä Empfängnis
2022-12-08 07:00:00,Mariä Empfängnis
2022-12-08 08:00:00,Mariä Empfängnis
2022-12-08 09:00:00,Mariä Empfängnis
2022-12-08 10:00:00,Mariä Empfängnis
2022-12-08 11:00:00,Mariä Empfängnis
2022-12-08 12:00:00,Mariä Empfängnis
2022-12-08 13:00:00,Mariä Empfängnis
2022-12-08 14:00:00,Mariä Empfängnis
2022-12-08 15:00:00,Mariä Empfängnis
2022-12-08 16:00:00,Mariä Empfängnis
2022-12-08 17:00:00,Mariä Empfängnis
2022-12-08 18:00:00,Mariä Empfängnis
2022-12-08 19:00:00,Mariä Empfängnis
2022-12-08 20:00:00,Mariä Empfängnis
2022-12-08 21:00:00,Mariä Empfängnis
2022-12-08 22:00:00,Mariä Empfängnis
2022-12-08 23:00:00,Mariä Empfängnis
2022-12-26 00:00:00,Stephanstag
2022-12-26 01:00:00,Stephanstag
2022-12-26 02:00:00,Stephanstag
2022-12-26 03:00:00,Stephanstag
2022-12-26 04:00:00,Stephanstag
2022-12-26 05:00:00,Stephanstag
2022-12-26 06:00:00,Stephanstag
2022-12-26 07:00:00,Stephanstag
2022-12-26 08:00:00,Stephanstag
2022-12-26 09:00:00,Stephanstag
2022-12-26 10:00:00,Stephanstag
2022-12-26 11:00:00,Stephanstag
2022-12-26 12:00:00,Stephanstag
2022-12-26 13:00:00,Stephanstag
2022-12-26 14:00:00,Stephanstag
2022-12-26 15:00:00,Stephanstag
2022-12-26 16:00:00,Stephanstag
2022-12-26 17:00:00,Stephanstag
2022-12-26 18:00:00,Stephanstag
2022-12-26 19:00:00,Stephanstag
2022-12-26 20:00:00,Stephanstag
2022-12-26 21:00:00,Stephanstag
2022-12-26 22:00:00,Stephanstag
2022-12-26 23:00:00,Stephanstag
2023-01-02 00:00:00,Berchtoldstag
2023-01-02 01:00:00,Berchtoldstag
2023-01-02 02:00:00,Berchtoldstag
2023-01-02 03:00:00,Berchtoldstag
2023-01-02 04:00:00,Berchtoldstag
2023-01-02 05:00:00,Berchtoldstag
