,Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
61428,2022-04-27 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,530.69,bereinigt
61450,2022-04-27 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,720.43,bereinigt
61472,2022-04-27 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,664.85,bereinigt
61494,2022-04-27 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,836.12,bereinigt
61516,2022-04-27 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,869.46,bereinigt
61538,2022-04-27 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,826.14,bereinigt
61560,2022-04-27 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,720.94,bereinigt
61582,2022-04-27 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,610.64,bereinigt
61604,2022-04-27 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,449.49,bereinigt
61626,2022-04-27 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,261.71,bereinigt
61648,2022-04-27 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,102.65,bereinigt
61670,2022-04-27 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,7.91,bereinigt
61692,2022-04-27 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61714,2022-04-27 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61736,2022-04-27 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61758,2022-04-27 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61780,2022-04-28 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61802,2022-04-28 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61824,2022-04-28 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61846,2022-04-28 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61868,2022-04-28 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
61890,2022-04-28 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,11.16,bereinigt
61912,2022-04-28 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,149.57,bereinigt
61934,2022-04-28 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,363.5,bereinigt
61956,2022-04-28 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,546.7,bereinigt
61978,2022-04-28 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,694.48,bereinigt
62000,2022-04-28 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,808.08,bereinigt
62022,2022-04-28 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,875.88,bereinigt
62044,2022-04-28 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,881.48,bereinigt
62066,2022-04-28 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,840.54,bereinigt
62088,2022-04-28 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,752.04,bereinigt
62110,2022-04-28 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,624.3,bereinigt
62132,2022-04-28 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,460.04,bereinigt
62154,2022-04-28 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,279.44,bereinigt
62176,2022-04-28 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,108.29,bereinigt
62198,2022-04-28 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,7.18,bereinigt
62220,2022-04-28 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62242,2022-04-28 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62264,2022-04-28 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62286,2022-04-28 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62308,2022-04-29 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62330,2022-04-29 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62352,2022-04-29 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62374,2022-04-29 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62396,2022-04-29 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62418,2022-04-29 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,23.84,bereinigt
62440,2022-04-29 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,155.51,bereinigt
62462,2022-04-29 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,405.6,bereinigt
62484,2022-04-29 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,557.3,bereinigt
62506,2022-04-29 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,605.32,bereinigt
62528,2022-04-29 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,783.15,bereinigt
62550,2022-04-29 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,794.74,bereinigt
62572,2022-04-29 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,732.12,bereinigt
62594,2022-04-29 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,770.5,bereinigt
62616,2022-04-29 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,488.86,bereinigt
62638,2022-04-29 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,459.83,bereinigt
62660,2022-04-29 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,311.36,bereinigt
62682,2022-04-29 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,171.84,bereinigt
62704,2022-04-29 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,49.55,bereinigt
62726,2022-04-29 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,9.75,bereinigt
62748,2022-04-29 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62770,2022-04-29 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62792,2022-04-29 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62814,2022-04-29 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62836,2022-04-30 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62858,2022-04-30 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62880,2022-04-30 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62902,2022-04-30 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
62924,2022-04-30 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
62946,2022-04-30 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,3.04,bereinigt
62968,2022-04-30 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,23.95,bereinigt
62990,2022-04-30 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,60.73,bereinigt
63012,2022-04-30 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,303.44,bereinigt
63034,2022-04-30 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,438.18,bereinigt
63056,2022-04-30 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,626.08,bereinigt
63078,2022-04-30 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,793.68,bereinigt
63100,2022-04-30 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,558.02,bereinigt
63122,2022-04-30 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,207.72,bereinigt
63144,2022-04-30 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,221.26,bereinigt
63166,2022-04-30 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,365.05,bereinigt
63188,2022-04-30 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,52.71,bereinigt
63210,2022-04-30 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,16.85,bereinigt
63232,2022-04-30 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,47.84,bereinigt
63254,2022-04-30 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,11.45,bereinigt
63276,2022-04-30 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63298,2022-04-30 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63320,2022-04-30 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63342,2022-04-30 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
63364,2022-05-01 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63386,2022-05-01 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63408,2022-05-01 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63430,2022-05-01 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63452,2022-05-01 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63474,2022-05-01 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,7.0,bereinigt
63496,2022-05-01 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,36.68,bereinigt
63518,2022-05-01 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,54.92,bereinigt
63540,2022-05-01 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,161.35,bereinigt
63562,2022-05-01 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,496.97,bereinigt
63584,2022-05-01 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,774.58,bereinigt
63606,2022-05-01 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,848.68,bereinigt
63628,2022-05-01 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,885.62,bereinigt
63650,2022-05-01 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,813.54,bereinigt
63672,2022-05-01 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,710.82,bereinigt
63694,2022-05-01 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,660.54,bereinigt
63716,2022-05-01 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,468.22,bereinigt
63738,2022-05-01 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,285.38,bereinigt
63760,2022-05-01 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,111.5,bereinigt
63782,2022-05-01 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,9.32,bereinigt
63804,2022-05-01 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
63826,2022-05-01 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63848,2022-05-01 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63870,2022-05-01 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63892,2022-05-02 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63914,2022-05-02 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63936,2022-05-02 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63958,2022-05-02 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
63980,2022-05-02 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
64002,2022-05-02 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,15.19,bereinigt
64024,2022-05-02 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,170.66,bereinigt
64046,2022-05-02 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,375.13,bereinigt
64068,2022-05-02 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,553.78,bereinigt
64090,2022-05-02 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,686.52,bereinigt
64112,2022-05-02 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,811.02,bereinigt
64134,2022-05-02 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,874.82,bereinigt
64156,2022-05-02 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,892.34,bereinigt
64178,2022-05-02 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,855.54,bereinigt
64200,2022-05-02 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,770.86,bereinigt
64222,2022-05-02 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,549.89,bereinigt
64244,2022-05-02 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,436.77,bereinigt
64266,2022-05-02 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,245.07,bereinigt
64288,2022-05-02 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,49.47,bereinigt
64310,2022-05-02 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,5.34,bereinigt
64332,2022-05-02 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64354,2022-05-02 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64376,2022-05-02 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
64398,2022-05-02 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64420,2022-05-03 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64442,2022-05-03 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64464,2022-05-03 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64486,2022-05-03 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64508,2022-05-03 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64530,2022-05-03 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,28.14,bereinigt
64552,2022-05-03 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,109.58,bereinigt
64574,2022-05-03 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,138.74,bereinigt
64596,2022-05-03 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,440.46,bereinigt
64618,2022-05-03 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,523.1,bereinigt
64640,2022-05-03 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,676.98,bereinigt
64662,2022-05-03 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,745.34,bereinigt
64684,2022-05-03 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,822.12,bereinigt
64706,2022-05-03 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,829.71,bereinigt
64728,2022-05-03 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,208.84,bereinigt
64750,2022-05-03 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,67.75,bereinigt
64772,2022-05-03 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,105.93,bereinigt
64794,2022-05-03 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,73.84,bereinigt
64816,2022-05-03 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,51.86,bereinigt
64838,2022-05-03 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,12.7,bereinigt
64860,2022-05-03 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
64882,2022-05-03 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
64904,2022-05-03 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64926,2022-05-03 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
64948,2022-05-04 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
64970,2022-05-04 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
64992,2022-05-04 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65014,2022-05-04 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65036,2022-05-04 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65058,2022-05-04 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,23.27,bereinigt
65080,2022-05-04 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,89.19,bereinigt
65102,2022-05-04 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,273.08,bereinigt
65124,2022-05-04 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,535.5,bereinigt
65146,2022-05-04 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,707.52,bereinigt
65168,2022-05-04 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,797.63,bereinigt
65190,2022-05-04 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,851.02,bereinigt
65212,2022-05-04 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,402.85,bereinigt
65234,2022-05-04 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,190.47,bereinigt
65256,2022-05-04 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,80.91,bereinigt
65278,2022-05-04 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,202.39,bereinigt
65300,2022-05-04 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,252.16,bereinigt
65322,2022-05-04 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,177.36,bereinigt
65344,2022-05-04 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,116.39,bereinigt
65366,2022-05-04 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,8.16,bereinigt
65388,2022-05-04 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65410,2022-05-04 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65432,2022-05-04 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65454,2022-05-04 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65476,2022-05-05 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65498,2022-05-05 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65520,2022-05-05 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65542,2022-05-05 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
65564,2022-05-05 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
65586,2022-05-05 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,3.44,bereinigt
65608,2022-05-05 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,32.55,bereinigt
65630,2022-05-05 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,84.23,bereinigt
65652,2022-05-05 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,91.79,bereinigt
65674,2022-05-05 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,130.44,bereinigt
65696,2022-05-05 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,203.81,bereinigt
65718,2022-05-05 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,212.93,bereinigt
65740,2022-05-05 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,277.64,bereinigt
65762,2022-05-05 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,354.42,bereinigt
65784,2022-05-05 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,322.48,bereinigt
65806,2022-05-05 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,112.64,bereinigt
65828,2022-05-05 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,27.78,bereinigt
65850,2022-05-05 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,10.76,bereinigt
65872,2022-05-05 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,4.54,bereinigt
65894,2022-05-05 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.36,bereinigt
65916,2022-05-05 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65938,2022-05-05 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65960,2022-05-05 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
65982,2022-05-05 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66004,2022-05-06 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66026,2022-05-06 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66048,2022-05-06 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66070,2022-05-06 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66092,2022-05-06 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66114,2022-05-06 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,3.86,bereinigt
66136,2022-05-06 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,15.03,bereinigt
66158,2022-05-06 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,43.87,bereinigt
66180,2022-05-06 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,46.77,bereinigt
66202,2022-05-06 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,64.9,bereinigt
66224,2022-05-06 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,49.86,bereinigt
66246,2022-05-06 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,72.09,bereinigt
66268,2022-05-06 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,193.64,bereinigt
66290,2022-05-06 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,224.9,bereinigt
66312,2022-05-06 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,252.03,bereinigt
66334,2022-05-06 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,197.42,bereinigt
66356,2022-05-06 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,104.25,bereinigt
66378,2022-05-06 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,95.98,bereinigt
66400,2022-05-06 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,122.15,bereinigt
66422,2022-05-06 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,19.93,bereinigt
66444,2022-05-06 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66466,2022-05-06 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66488,2022-05-06 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66510,2022-05-06 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66532,2022-05-07 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
66554,2022-05-07 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66576,2022-05-07 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66598,2022-05-07 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66620,2022-05-07 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
66642,2022-05-07 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,14.86,bereinigt
66664,2022-05-07 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,86.55,bereinigt
66686,2022-05-07 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,200.02,bereinigt
66708,2022-05-07 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,185.22,bereinigt
66730,2022-05-07 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,81.14,bereinigt
66752,2022-05-07 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,269.73,bereinigt
66774,2022-05-07 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,555.7,bereinigt
66796,2022-05-07 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,586.0,bereinigt
66818,2022-05-07 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,423.9,bereinigt
66840,2022-05-07 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,426.54,bereinigt
66862,2022-05-07 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,128.87,bereinigt
66884,2022-05-07 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,82.2,bereinigt
