,Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
504134,2021-09-30 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,260.58,bereinigt
504156,2021-09-30 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,476.54,bereinigt
504178,2021-09-30 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,522.0,bereinigt
504200,2021-09-30 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,574.39,bereinigt
504222,2021-09-30 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,609.68,bereinigt
504244,2021-09-30 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,599.31,bereinigt
504266,2021-09-30 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,498.26,bereinigt
504288,2021-09-30 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,361.78,bereinigt
504310,2021-09-30 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,195.51,bereinigt
504332,2021-09-30 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,50.22,bereinigt
504354,2021-09-30 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.4,bereinigt
504376,2021-09-30 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504398,2021-09-30 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504420,2021-09-30 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504442,2021-09-30 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504464,2021-09-30 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504486,2021-10-01 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504508,2021-10-01 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504530,2021-10-01 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504552,2021-10-01 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504574,2021-10-01 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504596,2021-10-01 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504618,2021-10-01 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,8.31,bereinigt
504640,2021-10-01 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,129.46,bereinigt
504662,2021-10-01 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,304.18,bereinigt
504684,2021-10-01 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,449.84,bereinigt
504706,2021-10-01 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,560.7,bereinigt
504728,2021-10-01 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,622.54,bereinigt
504750,2021-10-01 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,622.16,bereinigt
504772,2021-10-01 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,577.06,bereinigt
504794,2021-10-01 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,472.34,bereinigt
504816,2021-10-01 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,353.2,bereinigt
504838,2021-10-01 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,191.71,bereinigt
504860,2021-10-01 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,29.11,bereinigt
504882,2021-10-01 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.06,bereinigt
504904,2021-10-01 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504926,2021-10-01 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504948,2021-10-01 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504970,2021-10-01 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504992,2021-10-01 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
505014,2021-10-02 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505036,2021-10-02 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505058,2021-10-02 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
505080,2021-10-02 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505102,2021-10-02 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
505124,2021-10-02 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
505146,2021-10-02 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.73,bereinigt
505168,2021-10-02 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,75.42,bereinigt
505190,2021-10-02 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,188.08,bereinigt
505212,2021-10-02 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,446.18,bereinigt
505234,2021-10-02 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,537.61,bereinigt
505256,2021-10-02 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,615.92,bereinigt
505278,2021-10-02 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,627.02,bereinigt
505300,2021-10-02 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,454.4,bereinigt
505322,2021-10-02 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,434.47,bereinigt
505344,2021-10-02 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,306.96,bereinigt
505366,2021-10-02 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,128.23,bereinigt
505388,2021-10-02 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,38.81,bereinigt
505410,2021-10-02 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.04,bereinigt
505432,2021-10-02 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505454,2021-10-02 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505476,2021-10-02 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505498,2021-10-02 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505520,2021-10-02 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505542,2021-10-03 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505564,2021-10-03 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505586,2021-10-03 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505608,2021-10-03 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
505630,2021-10-03 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505652,2021-10-03 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
505674,2021-10-03 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,6.84,bereinigt
505696,2021-10-03 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,89.86,bereinigt
505718,2021-10-03 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,132.28,bereinigt
505740,2021-10-03 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,198.32,bereinigt
505762,2021-10-03 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,296.12,bereinigt
505784,2021-10-03 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,236.13,bereinigt
505806,2021-10-03 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,412.79,bereinigt
505828,2021-10-03 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,291.16,bereinigt
505850,2021-10-03 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,230.07,bereinigt
505872,2021-10-03 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,117.76,bereinigt
505894,2021-10-03 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,75.12,bereinigt
505916,2021-10-03 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,23.76,bereinigt
505938,2021-10-03 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.07,bereinigt
505960,2021-10-03 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
505982,2021-10-03 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506004,2021-10-03 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506026,2021-10-03 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506048,2021-10-03 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506070,2021-10-04 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506092,2021-10-04 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506114,2021-10-04 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506136,2021-10-04 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506158,2021-10-04 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506180,2021-10-04 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506202,2021-10-04 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.68,bereinigt
506224,2021-10-04 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,21.29,bereinigt
506246,2021-10-04 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,25.75,bereinigt
506268,2021-10-04 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,56.24,bereinigt
506290,2021-10-04 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,104.33,bereinigt
506312,2021-10-04 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,229.42,bereinigt
506334,2021-10-04 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,256.68,bereinigt
506356,2021-10-04 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,162.32,bereinigt
506378,2021-10-04 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,205.49,bereinigt
506400,2021-10-04 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,145.14,bereinigt
506422,2021-10-04 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,74.88,bereinigt
506444,2021-10-04 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,44.22,bereinigt
506466,2021-10-04 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.14,bereinigt
506488,2021-10-04 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506510,2021-10-04 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506532,2021-10-04 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506554,2021-10-04 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506576,2021-10-04 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506598,2021-10-05 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506620,2021-10-05 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506642,2021-10-05 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506664,2021-10-05 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506686,2021-10-05 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
506708,2021-10-05 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
506730,2021-10-05 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,1.18,bereinigt
506752,2021-10-05 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,142.47,bereinigt
506774,2021-10-05 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,133.91,bereinigt
506796,2021-10-05 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,145.27,bereinigt
506818,2021-10-05 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,138.07,bereinigt
506840,2021-10-05 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,142.73,bereinigt
506862,2021-10-05 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,138.38,bereinigt
506884,2021-10-05 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,247.66,bereinigt
506906,2021-10-05 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,367.41,bereinigt
506928,2021-10-05 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,219.69,bereinigt
506950,2021-10-05 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,56.23,bereinigt
506972,2021-10-05 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,15.08,bereinigt
506994,2021-10-05 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507016,2021-10-05 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507038,2021-10-05 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
507060,2021-10-05 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.1,bereinigt
507082,2021-10-05 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507104,2021-10-05 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
507126,2021-10-06 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507148,2021-10-06 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
507170,2021-10-06 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
507192,2021-10-06 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507214,2021-10-06 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507236,2021-10-06 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
507258,2021-10-06 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.57,bereinigt
507280,2021-10-06 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,37.84,bereinigt
507302,2021-10-06 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,108.92,bereinigt
507324,2021-10-06 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,214.85,bereinigt
507346,2021-10-06 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,225.12,bereinigt
507368,2021-10-06 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,511.29,bereinigt
507390,2021-10-06 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,181.28,bereinigt
507412,2021-10-06 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,242.29,bereinigt
507434,2021-10-06 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,313.76,bereinigt
507456,2021-10-06 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,244.98,bereinigt
507478,2021-10-06 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,104.44,bereinigt
