datetime,bhfs_north,bhfs_middle,bhfs_south,total
2021-09-29 22:00:00,-0.3163373282121569,-0.5770075306472915,-0.3444510023530185,-0.4301312379983582
2021-09-29 23:00:00,0.9444616088408513,-0.4462871026284194,0.7932306391169277,0.39890770756200533
2021-09-30 00:00:00,1.01160091167848,0.0,0.0,0.2035989552412394
2021-09-30 01:00:00,0.4054651081081643,0.6931471805599454,-0.4054651081081644,0.4754236967150747
2021-09-30 02:00:00,0.18232155679395468,0.4054651081081646,0.08701137698962969,0.23638877806423064
2021-09-30 03:00:00,0.13517477836825265,0.055569851154810834,0.1117914059881171,0.09265883048270496
2021-09-30 04:00:00,-0.0037807228399060477,-0.10969891725642444,0.13737672955678448,0.011494379425735168
2021-09-30 05:00:00,0.03336569384380006,0.04621284315513119,0.026433257068155136,0.03452119436823331
2021-09-30 06:00:00,0.02142939145589917,0.06621496746482336,0.0,0.0256186277203323
2021-09-30 07:00:00,-0.06880036017631763,0.036496104573132016,-0.004788516731797365,-0.015416382086174352
2021-09-30 08:00:00,-0.06731642515969849,0.08710059499388301,0.09227726141985748,0.0338088377276442
2021-09-30 09:00:00,0.019541155206835192,0.036916943827642434,0.026971116774792137,0.026545124698357014
2021-09-30 10:00:00,0.02412762631478138,0.09257976302682813,0.014701447269137802,0.035678254658789044
2021-09-30 11:00:00,0.04149621594973141,0.505674037179741,0.09779129789376029,0.15759207629960414
2021-09-30 12:00:00,0.029062188808637757,1.8549109401463992,-0.01651259086089496,0.20778718287778375
2021-09-30 13:00:00,0.0516563366859657,0.27139506747708175,0.08067777734545523,0.1070854547175184
2021-09-30 14:00:00,0.05779931111804437,0.15977961869945823,0.06790929760341591,0.08246075753206128
2021-09-30 15:00:00,0.14737099284187938,0.0940451574977379,0.11682372935308027,0.12434834362247038
2021-09-30 16:00:00,0.09288786680531746,0.26591976832225406,0.09415791072370361,0.12771320808748676
2021-09-30 17:00:00,0.1358381987224373,0.09450889771017135,0.1302845079664845,0.12499589789779897
2021-09-30 18:00:00,0.34420076971355673,0.23047214806503646,0.23562143156965298,0.27559634638113106
2021-09-30 19:00:00,0.3345398688701593,0.17897520676661038,0.2505425255023237,0.26810990576357074
2021-09-30 20:00:00,0.41335589260171,0.20043330673700055,0.17234510229758193,0.2695012161085799
2021-09-30 21:00:00,0.37005306988490805,0.09278173345096619,0.21336617847591466,0.2316932853880358
2021-09-30 22:00:00,0.46563362957461774,0.35755175241226667,0.439158953894637,0.4173378865384487
2021-09-30 23:00:00,0.3677247801253172,0.9409833444645264,0.23262229526875355,0.45675840249571475
2021-10-01 00:00:00,0.5465437063680696,0.25782910930209946,0.9932517730102837,0.5819215454497213
2021-10-01 01:00:00,1.7346010553881066,-0.2657031657330058,1.4469189829363256,0.4321333551903259
2021-10-01 02:00:00,1.6422277352570913,0.44183275227903884,0.45953232937844035,0.6664789334777836
2021-10-01 03:00:00,0.05588045839445677,-0.12201495056296352,0.12629372532429173,0.0058823699030670085
2021-10-01 04:00:00,-0.007604599385219402,0.09662683568907227,-0.042689408695050446,0.013621095951965145
2021-10-01 05:00:00,-0.2043234919874397,-0.008097210232619112,-0.009987598628347527,-0.06174800706844685
2021-10-01 06:00:00,-0.08476526662770922,0.2089732737209795,0.0027662534928900584,0.042697068314685005
2021-10-01 07:00:00,0.08307357305043439,0.25924691614028106,0.009554212804811613,0.10751418723202377
2021-10-01 08:00:00,0.16688840745720945,0.3992304693730473,0.06792022970601774,0.19301944632234758
2021-10-01 09:00:00,0.11778303565638382,0.19609231091193546,0.15254875717792427,0.15040138861478347
2021-10-01 10:00:00,0.04106857324176083,0.008688151957637835,0.012923741737012051,0.02140133150629886
2021-10-01 11:00:00,0.08618150142333025,-0.05891273869955249,-0.050831141406691316,-0.005097482967325817
2021-10-01 12:00:00,0.03841155003487007,-0.024266835738314896,0.0890197790055538,0.0461331467099928
2021-10-01 13:00:00,0.09122661829495105,0.13675893711538922,0.05321261725743476,0.08631512511726491
2021-10-01 14:00:00,0.1270434067448143,0.11547755913088498,0.1592307903427228,0.13723266841584447
2021-10-01 15:00:00,0.05832391513738422,0.1488762321288748,0.11395370931401594,0.09914465597023181
2021-10-01 16:00:00,0.14048391193940546,0.0972329310611677,0.12659829239605003,0.12601810958466508
2021-10-01 17:00:00,0.18868567139052228,0.2299340707166797,0.18407829526063413,0.19571670023046472
2021-10-01 18:00:00,0.25233668569997825,0.28698642024981424,0.29077736565930845,0.2749493663287925
2021-10-01 19:00:00,0.3207370376343759,0.5767598185425369,0.35255837437283777,0.392832229447313
2021-10-01 20:00:00,0.33750814831606046,0.6494721170572841,0.46769225294841466,0.46395762469159774
2021-10-01 21:00:00,0.8715852373275021,0.8468456786024241,0.8494788863335643,0.8567452617832512
2021-10-01 22:00:00,1.2906191511965277,0.814332737362168,1.3337320310290357,1.1663645244087766
2021-10-01 23:00:00,2.3440222828582193,1.7201499368499316,1.7030313536193704,1.8858062249856076
2021-10-02 00:00:00,2.497978731355353,1.8993901334204204,2.407945608651872,2.2996395827642884
2021-10-02 01:00:00,2.684239552408491,1.76978056250928,2.7725887222397807,2.4431095211095384
2021-10-02 02:00:00,1.995358424469294,0.5798184952529422,1.6354133988373611,1.5010698757123189
2021-10-02 03:00:00,-0.17798315519535635,-0.24046833497151532,-0.22738984219566039,-0.21875437089544647
2021-10-02 04:00:00,-0.6195846133829281,-0.8191879014553107,-0.9116287187683438,-0.7864301043484296
2021-10-02 05:00:00,-0.9529722985087599,-1.2799587113038582,-1.2427753698670196,-1.1729652687858163
